NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1314 Entries & Exits,1213 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
7563,BLL,Bardon Mill,North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 1,488 "," 1,828 ", 755 ," 4,071 "," 1,488 "," 1,828 ", 755 ," 4,071 "," 8,142 "," 9,050 ", -   ,0,0,,
2690,BAR,Bare Lane,North West,Lancashire,Lancaster,UKD4,Lancashire,Northern Rail,,,," 46,921 "," 6,070 "," 30,872 "," 83,863 "," 46,921 "," 6,070 "," 30,872 "," 83,863 "," 167,726 "," 138,054 ", -   ,1,0,Increased usage possible due to seasonal Sunday services between Morecambe and Leeds becoming permanent feature of the timetable in summer 2013,
9764,BGI,Bargeddie,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 13,421 "," 17,399 "," 13,186 "," 44,006 "," 13,421 "," 17,399 "," 13,186 "," 44,006 "," 88,012 "," 98,344 ", -   ,1,0,Improved PTE Infill,
4011,BGD,Bargoed,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 67,198 "," 4,660 "," 32,639 "," 104,497 "," 67,198 "," 4,660 "," 32,639 "," 104,497 "," 208,994 "," 195,912 ", -   ,0,0,,
7492,BKG,Barking,London,Greater London,Barking And Dagenham,UKI2,Outer London,c2c,,,London Travelcard Area Station," 1,028,306 "," 1,621,232 "," 1,515,778 "," 4,165,316 "," 1,028,306 "," 1,621,232 "," 1,515,778 "," 4,165,316 "," 8,330,632 "," 8,072,356 "," 617,495 ",0,0,,
5133,BMG,Barming,South East,Kent,Tonbridge And Malling,UKJ4,Kent,Southeastern,,,," 17,192 "," 16,534 "," 30,102 "," 63,828 "," 17,192 "," 16,534 "," 30,102 "," 63,828 "," 127,656 "," 124,318 ", -   ,0,0,,
4445,BRM,Barmouth,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 45,540 "," 20,710 "," 8,894 "," 75,144 "," 45,540 "," 20,710 "," 8,894 "," 75,144 "," 150,288 "," 167,324 ", -   ,1,0,Line closures due to winter storm damage,http://www.dailypost.co.uk/news/north-wales-news/cambrian-coast-railway-gwynedd-closed-6528359
5089,BNH,Barnehurst,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 123,869 "," 193,654 "," 530,378 "," 847,901 "," 123,869 "," 193,654 "," 530,378 "," 847,901 "," 1,695,802 "," 1,599,146 ", -   ,0,0,,
5551,BNS,Barnes,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 251,419 "," 299,233 "," 502,438 "," 1,053,090 "," 251,419 "," 299,233 "," 502,438 "," 1,053,090 "," 2,106,180 "," 2,022,944 "," 22,391 ",0,0,,
5580,BNI,Barnes Bridge,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 106,129 "," 111,566 "," 137,683 "," 355,378 "," 106,129 "," 111,566 "," 137,683 "," 355,378 "," 710,756 "," 681,764 ", -   ,0,0,,
6406,BTB,Barnetby,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,First TransPennine Express,,,," 5,876 "," 19,892 "," 4,951 "," 30,719 "," 5,876 "," 19,892 "," 4,951 "," 30,719 "," 61,437 "," 64,904 "," 2,797 ",0,0,,
5252,BAA,Barnham,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 77,422 "," 171,556 "," 248,653 "," 497,631 "," 77,422 "," 171,556 "," 248,653 "," 497,631 "," 995,262 "," 995,652 "," 917,509 ",0,0,,
9973,BNL,Barnhill,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 13,491 "," 12,986 "," 10,329 "," 36,806 "," 13,491 "," 12,986 "," 10,329 "," 36,806 "," 73,612 "," 63,900 ", -   ,1,0,Improved PTE Infill,
6774,BNY,Barnsley,Yorkshire And The Humber,South Yorkshire,Barnsley,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,," 205,978 "," 275,733 "," 193,266 "," 674,977 "," 205,978 "," 275,733 "," 193,266 "," 674,977 "," 1,349,954 "," 1,463,576 "," 22,057 ",0,0,,
5725,BNP,Barnstaple,South West,Devon,North Devon,UKK4,Devon,First Great Western,,,," 9,342 "," 159,441 "," 23,334 "," 192,117 "," 9,342 "," 159,441 "," 23,334 "," 192,117 "," 384,234 "," 382,186 ", -   ,0,0,,
1096,BTG,Barnt Green,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,,," 40,459 "," 30,260 "," 59,634 "," 130,353 "," 40,459 "," 30,260 "," 59,634 "," 130,353 "," 260,706 "," 249,310 "," 35,725 ",0,0,,
9674,BRR,Barrhead,Scotland,East Renfrewshire,East Renfrewshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 77,534 "," 115,167 "," 135,056 "," 327,757 "," 77,534 "," 115,167 "," 135,056 "," 327,757 "," 655,514 "," 669,082 ", -   ,0,0,,
9467,BRL,Barrhill,Scotland,South Ayrshire,South Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 1,541 "," 3,943 ", 123 ," 5,607 "," 1,541 "," 3,943 ", 123 ," 5,607 "," 11,214 "," 5,712 ", -   ,1,0,Improved PTE Infill,
6212,BAV,Barrow Haven,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,, 987 , 61 , 16 ," 1,064 ", 987 , 61 , 16 ," 1,064 "," 2,128 "," 1,744 ", -   ,0,0,,
1954,BIF,Barrow-In-Furness,North West,Cumbria,Barrow-In-Furness,UKD1,Cumbria,First TransPennine Express,,,," 155,397 "," 100,477 "," 59,657 "," 315,531 "," 155,397 "," 100,477 "," 59,657 "," 315,531 "," 631,062 "," 604,356 "," 16,778 ",0,0,,
1903,BWS,Barrow-Upon-Soar,East Midlands,Leicestershire,Charnwood,UKF2,"Leicestershire, Rutland and Northamptonshire",East Midlands Trains,,,," 12,604 "," 11,878 "," 20,205 "," 44,687 "," 12,604 "," 11,878 "," 20,205 "," 44,687 "," 89,374 "," 79,664 ", -   ,1,0,Reason for increase unclear,
3805,BRY,Barry,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 153,910 "," 22,533 "," 103,109 "," 279,552 "," 153,910 "," 22,533 "," 103,109 "," 279,552 "," 559,104 "," 526,808 "," 3,028 ",0,0,,
3806,BYD,Barry Docks,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 66,837 "," 6,026 "," 28,949 "," 101,812 "," 66,837 "," 6,026 "," 28,949 "," 101,812 "," 203,624 "," 191,272 ", -   ,0,0,,
3807,BYI,Barry Island,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 146,369 "," 26,232 "," 138,011 "," 310,612 "," 146,369 "," 26,232 "," 138,011 "," 310,612 "," 621,224 "," 592,354 ", -   ,0,0,,
9020,BYL,Barry Links,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,, 19 , 1 , -   , 20 , 19 , 1 , -   , 20 , 40 , 52 , -   ,0,0,,
6207,BAU,Barton-On-Humber,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 18,551 "," 1,731 "," 1,193 "," 21,475 "," 18,551 "," 1,731 "," 1,193 "," 21,475 "," 42,950 "," 45,114 ", -   ,0,0,,
7494,BSO,Basildon,East,Essex,Basildon,UKH3,Essex,c2c,,,," 404,036 "," 343,748 "," 634,416 "," 1,382,200 "," 404,036 "," 343,748 "," 634,416 "," 1,382,200 "," 2,764,400 "," 2,667,746 ", -   ,0,0,,
5520,BSK,Basingstoke,South East,Hampshire,Basingstoke And Deane,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 571,399 "," 1,038,645 "," 1,076,830 "," 2,686,874 "," 571,399 "," 1,038,645 "," 1,076,830 "," 2,686,874 "," 5,373,748 "," 5,261,426 "," 870,788 ",0,0,,
5090,BBL,Bat & Ball,South East,Kent,Sevenoaks,UKJ4,Kent,Southeastern,,,," 10,535 "," 10,719 "," 17,837 "," 39,091 "," 10,535 "," 10,719 "," 17,837 "," 39,091 "," 78,182 "," 74,214 ", -   ,0,0,,
3271,BTH,Bath Spa,South West,Bath And North East Somerset,Bath And North East Somerset,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 577,368 "," 1,865,885 "," 551,884 "," 2,995,137 "," 577,368 "," 1,865,885 "," 551,884 "," 2,995,137 "," 5,990,274 "," 5,757,880 "," 187,574 ",0,0,,
9311,BHG,Bathgate,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,," 149,504 "," 208,758 "," 172,081 "," 530,343 "," 149,504 "," 208,758 "," 172,081 "," 530,343 "," 1,060,686 "," 973,872 ", -   ,0,0,Continued demand increase from opening of the Airdrie-Bathgate line,
8484,BTL,Batley,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 41,180 "," 58,471 "," 48,372 "," 148,023 "," 41,180 "," 58,471 "," 48,372 "," 148,023 "," 296,046 "," 263,850 ", -   ,1,0,Reason for increase unclear,
7909,BTT,Battersby,Yorkshire And The Humber,North Yorkshire,Hambleton,UKE2,North Yorkshire,Northern Rail,,,, 672 , 124 , -   , 796 , 672 , 124 , -   , 796 ," 1,592 "," 1,574 ", -   ,0,0,,
5420,BAK,Battersea Park,London,Greater London,Wandsworth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 179,486 "," 284,877 "," 736,939 "," 1,201,302 "," 179,486 "," 284,877 "," 736,939 "," 1,201,302 "," 2,402,604 "," 2,325,476 "," 3,825 ",0,0,,
5215,BAT,Battle,South East,East Sussex,Rother,UKJ2,"Surrey, East & West Sussex",Southeastern,,,," 49,463 "," 99,319 "," 79,547 "," 228,329 "," 49,463 "," 99,319 "," 79,547 "," 228,329 "," 456,658 "," 464,970 ", -   ,0,0,,
6870,BLB,Battlesbridge,East,Essex,Chelmsford,UKH3,Essex,Abellio Greater Anglia,,,," 2,226 "," 2,423 "," 2,756 "," 7,405 "," 2,226 "," 2,423 "," 2,756 "," 7,405 "," 14,810 "," 13,278 ", -   ,1,0,General high growth on Crouch Valley Line,
6006,BAY,Bayford,East,Hertfordshire,East Hertfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 7,061 "," 7,698 "," 5,920 "," 20,679 "," 7,061 "," 7,698 "," 5,920 "," 20,679 "," 41,358 "," 37,596 ", -   ,1,0,Reason for increase not clear - reverses small decrease seen in the previous year,
