NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1314 Entries & Exits,1213 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
7355,SMK,Stowmarket,East,Suffolk,Mid Suffolk,UKH1,East Anglia,Abellio Greater Anglia,,,," 106,893 "," 174,892 "," 190,448 "," 472,233 "," 106,893 "," 174,892 "," 190,448 "," 472,233 "," 944,466 "," 927,856 "," 46,556 ",0,0,,
9555,STR,Stranraer,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,," 8,029 "," 14,736 ", -   ," 22,765 "," 8,029 "," 14,736 ", -   ," 22,765 "," 45,530 "," 45,292 ", -   ,0,0,,
6969,SRA,Stratford,London,Greater London,Newham,UKI1,Inner London,Abellio Greater Anglia,,,London Travelcard Area Station," 2,505,578 "," 4,955,840 "," 5,727,335 "," 13,188,753 "," 2,505,578 "," 4,955,840 "," 5,727,335 "," 13,188,753 "," 26,377,506 "," 25,564,250 "," 4,999,629 ",0,0,,
7222,SFA,Stratford International,London,Greater London,Newham,UKI1,Inner London,Southeastern,,,London Travelcard Area Station," 110,607 "," 233,333 "," 120,243 "," 464,183 "," 110,607 "," 233,333 "," 120,243 "," 464,183 "," 928,366 "," 957,964 ", -   ,0,0,,
6794,STY,Stratford Pkway,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,,," 6,119 "," 9,975 "," 1,404 "," 17,498 "," 6,119 "," 9,975 "," 1,404 "," 17,498 "," 34,996 ", -   ," 1,731 ",1,0,New Station,
4558,SAV,Stratford-Upon-Avon,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,,," 56,230 "," 226,535 "," 210,506 "," 493,271 "," 56,230 "," 226,535 "," 210,506 "," 493,271 "," 986,542 "," 898,436 ", 18 ,0,0,,
8673,STC,Strathcarron,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 3,333 "," 1,142 ", -   ," 4,475 "," 3,333 "," 1,142 ", -   ," 4,475 "," 8,950 "," 9,304 ", -   ,0,0,,
5607,STW,Strawberry Hill,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 139,023 "," 153,168 "," 257,097 "," 549,288 "," 139,023 "," 153,168 "," 257,097 "," 549,288 "," 1,098,576 "," 1,045,528 ", 4 ,0,0,,
5383,STE,Streatham,London,Greater London,Lambeth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 231,400 "," 295,407 "," 915,060 "," 1,441,867 "," 231,400 "," 295,407 "," 915,060 "," 1,441,867 "," 2,883,734 "," 2,396,904 "," 359,329 ",1,0,Reasons for strong growth unclear - could be at least partially linked to to the Surrey Quays to Clapham Junction London Overground extension which passengers at this station can benefit from by interchanging at Peckham Rye,
5384,SRC,Streatham Common,London,Greater London,Lambeth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 312,431 "," 514,072 "," 1,087,145 "," 1,913,648 "," 312,431 "," 514,072 "," 1,087,145 "," 1,913,648 "," 3,827,296 "," 3,668,806 "," 156,635 ",0,0,,
5435,SRH,Streatham Hill,London,Greater London,Lambeth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 245,202 "," 367,657 "," 749,801 "," 1,362,660 "," 245,202 "," 367,657 "," 749,801 "," 1,362,660 "," 2,725,320 "," 2,661,068 ", -   ,0,0,,
8543,SHC,Streethouse,Yorkshire And The Humber,West Yorkshire,Wakefield,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 5,948 "," 5,163 "," 3,119 "," 14,230 "," 5,948 "," 5,163 "," 3,119 "," 14,230 "," 28,460 "," 30,746 ", -   ,0,0,,
2834,SRN,Strines,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,,," 1,666 "," 3,837 "," 5,361 "," 10,864 "," 1,666 "," 3,837 "," 5,361 "," 10,864 "," 21,728 "," 21,112 ", -   ,0,0,,
8674,STF,Stromeferry,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 749 , 188 , -   , 937 , 749 , 188 , -   , 937 ," 1,874 "," 2,074 ", -   ,0,0,,
5191,SOO,Strood,South East,Medway,Medway,UKJ4,Kent,Southeastern,,,," 130,741 "," 202,654 "," 215,943 "," 549,338 "," 130,741 "," 202,654 "," 215,943 "," 549,338 "," 1,098,676 "," 1,110,912 "," 422,796 ",0,0,,
4771,STD,Stroud,South West,Gloucestershire,Stroud,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 20,871 "," 174,899 "," 36,651 "," 232,421 "," 20,871 "," 174,899 "," 36,651 "," 232,421 "," 464,842 "," 485,428 ", 0 ,0,0,,
5029,STU,Sturry,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 7,607 "," 11,548 "," 17,326 "," 36,481 "," 7,607 "," 11,548 "," 17,326 "," 36,481 "," 72,962 "," 69,062 ", -   ,0,0,,
2868,SYA,Styal,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,, 854 ," 1,061 ", 198 ," 2,113 ", 854 ," 1,061 ", 198 ," 2,113 "," 4,226 "," 3,660 ", -   ,0,0,,
7098,SUY,Sudbury,East,Suffolk,Babergh,UKH1,East Anglia,Abellio Greater Anglia,,,," 30,381 "," 69,131 "," 65,065 "," 164,577 "," 30,381 "," 69,131 "," 65,065 "," 164,577 "," 329,154 "," 326,340 ", -   ,0,0,,
1483,SUD,Sudbury & Harrow Road,London,Greater London,Brent,UKI2,Outer London,Chiltern Railways,,,London Travelcard Area Station," 3,488 "," 1,581 "," 4,290 "," 9,359 "," 3,488 "," 1,581 "," 4,290 "," 9,359 "," 18,718 "," 18,050 ", -   ,0,0,,
1484,SDH,Sudbury Hill Harrow,London,Greater London,Harrow,UKI2,Outer London,Chiltern Railways,,,London Travelcard Area Station," 9,330 "," 6,659 "," 10,492 "," 26,481 "," 9,330 "," 6,659 "," 10,492 "," 26,481 "," 52,962 "," 51,376 ", -   ,0,0,,
4157,SUG,Sugar Loaf,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,, 43 , 77 , -   , 120 , 43 , 77 , -   , 120 , 240 , 144 , -   ,0,1,"Very small station (<2,500 entries and exits p.a.)","Very small station (<2,500 entries and exits p.a.)"
9959,SUM,Summerston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 22,159 "," 39,610 "," 15,272 "," 77,041 "," 22,159 "," 39,610 "," 15,272 "," 77,041 "," 154,082 "," 156,810 ", -   ,0,0,,
5608,SUU,Sunbury,South East,Surrey,Spelthorne,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 50,815 "," 55,998 "," 99,986 "," 206,799 "," 50,815 "," 55,998 "," 99,986 "," 206,799 "," 413,598 "," 404,602 ", -   ,0,0,,
7640,SUN,Sunderland,North East,Tyne And Wear,Sunderland,UKC2,Northumberland and Tyne and Wear,Northern Rail,,Tyne & Wear,," 103,581 "," 160,148 "," 132,293 "," 396,022 "," 103,581 "," 160,148 "," 132,293 "," 396,022 "," 792,044 "," 816,546 "," 4,943 ",0,0,Improved PTE Infill,
5155,SUP,Sundridge Park,London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 35,949 "," 29,803 "," 78,170 "," 143,922 "," 35,949 "," 29,803 "," 78,170 "," 143,922 "," 287,844 "," 274,974 ", -   ,0,0,,
